name,tag,avg_cost,description,lat,lon,opening_hours,address,image_url1,image_url2
Nhà thờ Đức Bà,religious,0,"Catholic church built with French bricks in the 1880s, featuring 58m-high Romanesque bell towers.",10.7797908,106.696444,24/7,"01 Công trường Công xã Paris, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",https://cdn.xanhsm.com/2024/11/f5d8fc3e-nha-tho-duc-ba-thumbnail-min-1-1024x576.jpg,https://static.vinwonders.com/production/nha-tho-duc-ba-topbanner.jpg
Bưu điện Trung tâm Sài Gòn,landmark,0,"Massive central post office completed in 1891, featuring a grand domed hall and time-worn paintwork.",10.7699185,106.6634209,7:00 – 19:00,"02 Công trường Công xã Paris, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",https://static.vinwonders.com/production/buu-dien-trung-tam-sai-gon-banner.jpg,https://www.vietnamairlines.com/~/media/SEO-images/2025%20SEO/Traffic%20TA/MN/saigon%20central%20post/saigon-central-post_thumb.jpg
Dinh Độc Lập,landmark,50000,"Historical relic of the Vietnam War allowing visitors to see government offices, command rooms, and artifacts.",10.7769942,106.6953021,7:30 – 16:00,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://vcdn1-dulich.vnecdn.net/2025/04/18/z6516648694973-259df00d1deba791e372e54b802daf3f-1744946004-1744947493.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=gC7OZjv7APkYrENRF0QaDg,https://statics.vinpearl.com/dinh-doc-lap-1_1624804960.jpg
Phố đi bộ Nguyễn Huệ,cultural,0,"Nguyen Hue Walking Street is located in the heart of Saigon, over 670m long and 64m wide, a primary gathering spot for people in Saigon.",10.7739992,106.6944339,24/7,"Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://static.vinwonders.com/production/pho-di-bo-nguyen-hue-o-dau-1.jpg,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/09/1-6.jpg
Bitexco Tower – Skydeck,viewpoint,250000,"Famous 68-story skyscraper with an observation deck, dining area, cinema, and retail stores.",10.7719839,106.7043912,9:30 – 21:30,"Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://seaproperty.vn/wp-content/uploads/2024/09/toa-nha-bitexco-2.jpg,https://bitexco.com.vn/wp-content/uploads/2019/01/8.jpg
Bảo tàng Chứng tích Chiến tranh,museum,40000,"Memorial museum displaying photos, weapons, & other artifacts from the wars in Vietnam & Indochina.",10.7795159,106.6895167,7:30 – 17:30,"Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam","https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1200,h_630/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/rhs9bb4z1ztznp7tsevc/V%C3%A9%20B%E1%BA%A3o%20T%C3%A0ng%20Ch%E1%BB%A9ng%20T%C3%ADch%20Chi%E1%BA%BFn%20Tranh%20TP.%20H%E1%BB%93%20Ch%C3%AD%20Minh.jpg",https://a.travel-assets.com/findyours-php/viewfinder/images/res70/554000/554816-war-remnants-museum-ho-chi-minh-city.jpg
Bảo tàng Mỹ Thuật,museum,30000,The Ho Chi Minh City Museum of Fine Arts has always been a famous destination for cultural and artistic exploration in Saigon.,10.7700215,106.6966108,8:00 – 17:00,"97A Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://static.vinwonders.com/production/bao-tang-my-thuat-thanh-pho-ho-chi-minh-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/B%E1%BA%A3o_t%C3%A0ng_M%E1%BB%B9_thu%E1%BA%ADt_TP.jpg/250px-B%E1%BA%A3o_t%C3%A0ng_M%E1%BB%B9_thu%E1%BA%ADt_TP.jpg
Công viên Tao Đàn,park,0,"Large green park with meticulously manicured gardens, pagodas, playgrounds & sports facilities.",10.7756001,106.6736258,24/7,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://upload.wikimedia.org/wikipedia/commons/5/54/C%C3%B4ng_vi%C3%AAn_Tao_%C4%90%C3%A0n.jpg,https://static.vinwonders.com/production/cong-vien-tao-dan-banner.jpg
Thảo Cầm Viên,zoo,65000,"Rustic zoo with a variety of animals, including giraffes, camels, elephants, and snakes.",10.7873397,106.7024817,7:00 – 18:30,"2 Nguyễn Bỉnh Khiêm, Phường Sài Gòn, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",https://static.vinwonders.com/production/thao-cam-vien-1.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMuCHtJlPSdcML4CmH7RAK4549h7Vl0GuxYg&s
Nhà hát Thành phố,landmark,800000,"Elaborate 19th-century French colonial opera house, now the city's venue for ballet and symphony performances.",10.7766181,106.7005966,9:00 – 22:00,"07 Công trường Lam Sơn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710212, Việt Nam",https://static.vinwonders.com/production/nha-hat-thanh-pho-banner-min.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/%C3%93pera%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_02.JPG
Phố Tây Bùi Viện,cultural,150000,"A street about 850m long on Bui Vien street, intersecting De Tham, Pham Ngu Lao, and Do Quang Dau streets.",10.767104,106.6886494,24/7,"Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://static.vinwonders.com/production/pho-tay-bui-vien-topbanner.jpg,https://static.vinwonders.com/production/pho-tay-bui-vien-5.jpg
Đường sách Nguyễn Văn Bình,cultural,0,Nguyen Van Binh Book Street is a famous Saigon tourist spot that attracts many young people for visits and check-ins.,10.7805644,106.6953185,8:00 – 21:00,"Đ. Nguyễn Văn Bình, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://static.vinwonders.com/production/duong-sach-nguyen-van-binh-banner.jpg,https://static.vinwonders.com/production/duong-sach-nguyen-van-binh-1.jpg
Trung tâm thương mại Vincom Đồng Khởi,shopping,0,"Modern indoor shopping center with a food court, and domestic and international retail stores.",10.7777857,106.6971535,9:30 – 21:30,"72 Lê Thánh Tôn, Phường, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",https://mia.vn/media/uploads/blog-du-lich/vincom-dong-khoi-1-1733417434.jpg,https://mia.vn/media/uploads/blog-du-lich/vincom-dong-khoi-2-1733417434.jpg
Takashimaya – Saigon Centre,shopping,0,"Trendy, airy shopping mall with many high-end stores, refined restaurants, and splendid spaces.",10.7730034,106.6822161,9:30 – 22:00,"92 94 Nam Kỳ Khởi Nghĩa, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",https://kimquanggroup.vn/hoanghung/37/images/trung-tam-thuong-mai-saigon-centre-1.jpg,https://i.ytimg.com/vi/ln8wQt9uMTI/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCwXY40pTUQNVV-DJvO8biqu6JRSg
Chợ Bến Thành,market,300000,"Famous market for buying handicrafts, souvenirs, clothing & other goods while enjoying local cuisine.",10.7725221,106.6954459,7:00 – 22:00,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://sakos.vn/wp-content/uploads/2024/07/THUMB-SAKOS-6.jpg,https://cdn.silverlandhotels.com/wp-content/uploads/2024/09/ben-thanh-market.jpg
Công viên 23/9,park,0,"Park along Pham Ngu Lao with walkways, trees, and community activity areas.",10.7687167,106.689765,24/7,"Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/b/b3/C%C3%B4ng_Vi%C3%AAn_23_Th%C3%A1ng_9_-_Ho_Chi_Minh_City%2C_Vietnam_-_DSC01084.JPG,https://static.vinwonders.com/production/cong-vien-23-9-banner.jpg
Chùa Ngọc Hoàng,religious,0,"Ancient Chinese-style pagoda dedicated to the Jade Emperor, famous for seeking children and peace.",10.7920016,106.6956095,7:30 – 18:00,"73 Mai Thị Lựu, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTarMGNgpPCd3py_e4_xtFdheRKcaB6omsvMA&s,https://statics.vinpearl.com/chua-ngoc-hoang-09_1630235939.jpg
Chùa Bà Thiên Hậu (Q1),religious,0,Temple dedicated to Thien Hau with ceramic statues and Chinese folk religious rituals.,10.7533133,106.6611762,6:00 – 18:00,"710 Nguyễn Trãi, Phường 11, Quận 5, TP. Hồ Chí Minh",https://static.vinwonders.com/production/chua-ba-thien-hau-2.jpg,https://static.vinwonders.com/production/chua-ba-thien-hau-6.jpg
Chùa Vĩnh Nghiêm,religious,0,"Large pagoda complex in Northern style, notable for the Avalokitesvara tower and curved concrete roof architecture.",10.7902264,106.6795789,7:00 – 18:00,"339 Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, TP. Hồ Chí Minh",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5_m2Jx5x6TsclnL0JC7xZY6KKdhJ2rHhquw&s,https://cdn.xanhsm.com/2024/11/2973adcc-chua-vinh-nghiem-2.jpg
Hồ Con Rùa,landmark,0,"Square – fountain intersection between Pham Ngoc Thach, Vo Van Tan, and Tran Cao Van, a popular youth meeting point.",10.7826208,106.693348,24/7,"Công trường Quốc Tế, Phường 6, Quận 3, TP. Hồ Chí Minh",https://cdnphoto.dantri.com.vn/v64Cpxk65gp-xFP0uUIDA2WsXIo=/2022/05/24/hoconruagiam-31-1653371082841.jpeg,https://thanhnien.mediacdn.vn/Uploaded/vuphuong/2022_04_24/anh-5-5487.jpg
Bảo tàng Phụ nữ Nam Bộ,museum,0,"Displays the historical, cultural roles, and images of Southern women through different periods.",10.7836866,106.6850631,8:00 – 17:00,13:30–16:30,https://baotangphunu.com/wp-content/uploads/2022/08/slide-1-1400x785.jpg,https://baotangphunu.com/wp-content/uploads/2022/11/z3869184694198_b202eefe9babd3a3fa1d27ead82f5561-1400x786.jpg
Bảo tàng Y học Cổ truyền,museum,85000,"FITO Museum showcases medicinal herbs, tools, and the history of traditional Vietnamese medicine.",10.7761876,106.6693072,8:30 – 17:30,"41 Hoàng Dư Khương, Phường 12, Quận 10, TP. Hồ Chí Minh","https://res.klook.com/image/upload/w_750,h_469,c_fill,q_85/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/ixhpnxnhjqqyy3crll0t.jpg",https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2022/8/16/1081609/14188302_95008208177.jpg
Công viên Lê Văn Tám,park,0,"Central park with lawns, ancient oil trees, and community activity areas.",10.7881814,106.6753405,24/7,"Công viên Lê Văn Tám, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/7/71/Le_Van_Tam_park.JPG,https://mia.vn/media/uploads/blog-du-lich/cong-vien-le-van-tam-07-1700235502.jpg
Nhà thờ Tân Định (hồng),religious,0,"Prominent pink church with Gothic – Roman style, a famous check-in spot.",10.7883412,106.6880986,24/7,"289 Hai Bà Trưng, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/1/11/T%C3%A2n_%C4%90%E1%BB%8Bnh_Church_20190922.jpg,https://tgpsaigon.net/Images/Parish/P_Tandinh_TD.jpg
Hội quán Nghĩa An,religious,0,Chinese assembly hall dedicated to Guan Sheng Di Jun (Quan Cong) with intricate carvings.,10.7537089,106.6576099,7:00 – 17:30,"678 Trần Hưng Đạo, Phường 11, Quận 5, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/1/1b/Nghia_An_Hoi_Quan_Pagoda_%2810018256906%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ngh%C4%A9a_An_h%E1%BB%99i_qu%C3%A1n.jpg/250px-Ngh%C4%A9a_An_h%E1%BB%99i_qu%C3%A1n.jpg
Chợ Lớn – Chợ Bình Tây,market,0,Central market of Chinatown with East Asian architecture and abundant goods.,10.7493852,106.6326255,6:00 – 17:30,"57A Tháp Mười, Phường 2, Quận 6, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vn-hcm-cho-binh-tay-27-07-07.JPG/1200px-Vn-hcm-cho-binh-tay-27-07-07.JPG,https://images2.thanhnien.vn/528068263637045248/2025/2/21/2e0ee4e0eb3d55630c2c-1740140283997795378918.jpg
Nhà thờ Cha Tam,religious,0,St. Francis Xavier Church (Cha Tam) with a blend of European and Chinese architecture.,10.7519703,106.6517583,24/7,"25 Học Lạc, Phường 14, Quận 5, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/5/5c/Ph%C6%B0%E1%BB%9Dng_14%2C_Qu%E1%BA%ADn_5%2C_TPHCM%2C_Vietnam_-_panoramio_%287%29.jpg,https://images2.thanhnien.vn/528068263637045248/2025/5/30/nha-tho-cha-tam-17486130693372146098740.jpeg
Hội quán Phước An Hội Quán,religious,0,Guan Gong Assembly Hall (Phuoc An) with gilded wooden statues and Chinese religious rituals.,10.754879,106.656296,7:00 – 17:30,"184 Hùng Vương, Phường 5, Quận 5, TP. Hồ Chí Minh",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-Z1eCGnnSo65iuacgdbnyCayI3yhstFAlYA&s,https://mttqquan5.vn/wp-content/uploads/2020/02/3-6.jpg
Crescent Mall,shopping,200000,Modern shopping mall in Phu My Hung with international brands and dining.,10.7285405,106.7161665,10:00 – 22:00,"101 Tôn Dật Tiên, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",https://mia.vn/media/uploads/blog-du-lich/crescent-mall-quan-7-1712070085.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Nguyen_van_Linh_tan_phu%2C_q7_hcmvn_-_panoramio.jpg
Hồ Bán Nguyệt – Cầu Ánh Sao,viewpoint,0,Scenic lake and Starlight pedestrian bridge that lights up at night in Phu My Hung area.,10.7263018,106.7177402,24/7,"Khu đô thị Phú Mỹ Hưng, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh",https://lh7-us.googleusercontent.com/ZqSJXOl008KP7d5cfQoHdkKGAqALt6mjUT-l1XtbYsOOBZOm2SDnkEUcEe1bxlx6vMqZFJv7R6X1iEkq667NGJnDcbZhqEMLnwjpcMa90qhQOuuyVMgfD84G1ZSp7Ye5mYGYzwhzfbM--9aiVWCEHCg,
SC VivoCity,shopping,200000,Family-oriented shopping mall with children's play areas and a variety of stores.,10.7302374,106.7008172,10:00 – 22:00,"1058 Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh",https://cdnphoto.dantri.com.vn/66ESuVXrH9WKDYlGDbBNeTKP1o0=/thumb_w/1020/2023/11/24/phu-my-hung-30-nam-theo-duoi-mot-cam-ketdocx-1676474231502-1700796442814.png,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/08/cau-anh-sao-1.jpg
Việt Nam Quốc Tự,religious,0,Central Buddhist pagoda with a 13-story tower symbolizing Vietnamese Buddhism.,10.7721483,106.654918,6:00 – 20:00,"244 Đường 3 Tháng 2, Phường 12, Quận 10, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/c/ca/Vi%E1%BB%87t_Nam_Qu%E1%BB%91c_t%E1%BB%B1_%28B%E1%BA%A3o_th%C3%A1p%29_%281%29.jpg,https://static.vinwonders.com/production/viet-nam-quoc-tu-1.jpeg
Đầm Sen Park,entertainment,200000,"Cultural – entertainment park with flower gardens, a lake, and family rides.",10.7687419,"106.633528,",8:00 – 18:00,"03 Hòa Bình, Phường 3, Quận 11, TP. Hồ Chí Minh",https://mia.vn/media/uploads/blog-du-lich/dam-sen-kho-01-1697030992.jpg,https://file.hstatic.net/200000288983/file/tong-hop-gia-ve-tham-quan-cac-tro-choi-o-dam-sen-kho-h2-min_8b26f8292f744e86af0402674aaccfdd_grande.jpg
Đầm Sen Water Park,entertainment,220000,"Water park with slides, wave pool, and children's area.",10.7689,106.6334136,9:00 – 18:00,"03 Hòa Bình, Phường 3, Quận 11, TP. Hồ Chí Minh",https://damsenpark.vn/wp-content/uploads/2020/07/dam-sen-kho-va-nuoc.jpg,https://www.damsenwaterpark.com.vn/wp-content/uploads/2024/06/DSN_Children-pool_01.jpg
Chùa Ấn Quang,religious,0,Pagoda with a historical role in Buddhist activities and the Southern Buddhist movement.,10.7658483,106.6691903,7:00 – 18:00,"243 Sư Vạn Hạnh, Phường 13, Quận 10, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/e/eb/HCMC_An_Quang.jpg,https://mia.vn/media/uploads/blog-du-lich/chua-an-quang-3-1702515388.jpg
Chùa Giác Lâm,religious,0,"Saigon's oldest pagoda with many wooden statues, steles, and multi-layered roof architecture.",10.7787071,106.6491914,5:00 – 20:00,"565 Lạc Long Quân, Phường 10, Quận Tân Bình, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/9/99/ChuaGiacLam01.jpg,https://owa.bestprice.vn/images/destinations/uploads/chua-giac-lam-60a232136c860.jpg
Landmark 81 – Skyview,viewpoint,650000,Observation deck in Vietnam's tallest building with panoramic views of the Saigon River.,10.7951519,106.6851875,8:30 – 22:00,"Vinhomes Central Park, Phường 22, Quận Bình Thạnh, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/4/4e/The_Landmark_81_at_night.jpg,https://icdn.dantri.com.vn/thumb_w/960/2019/04/25/landmark-81-sky-view-fun-fact-1-1556196909662.jpg
Công viên Landmark,park,0,Riverside park in Vinhomes Central Park area with walking paths and modern landscape.,10.8016567,106.6782176,24/7,"Vinhomes Central Park, Phường 22, Quận Bình Thạnh, TP. Hồ Chí Minh",https://storage.googleapis.com/digital-platform/hinh_anh_cong_vien_Landmark_81_o_dau_ve_vao_cong_bao_nhieu_so_1_35a62ed3db/hinh_anh_cong_vien_Landmark_81_o_dau_ve_vao_cong_bao_nhieu_so_1_35a62ed3db.jpg,https://www.vinhomescentralparkt.com/wp-content/uploads/2025/10/tong-quan-landmark-81.jpg
Chùa Xá Lợi,religious,0,Pagoda famous for its high bell tower and history of the 1963 Buddhist movement.,10.7778733,106.6837642,5:30 – 18:00,"89 Bà Huyện Thanh Quan, Phường 7, Quận 3, TP. Hồ Chí Minh",https://cdn.xanhsm.com/2024/11/4dd7fdef-chua-xa-loi-thumb.jpg,https://cdn.xanhsm.com/2024/11/8d3ab263-chua-xa-loi-15.jpg
Chùa Pháp Hoa (bên hồ Rách Miễu),religious,0,"Canal-side pagoda with elegant architecture, peaceful space for meditation.",10.7863058,106.6634354,6:00 – 18:00,"870 Trường Sa, Phường 14, Quận 3, TP. Hồ Chí Minh",https://52hz.vn/wp-content/uploads/2022/09/chua-phap-hoa-ve-dem.jpg,https://media-cdn-v2.laodong.vn/storage/newsportal/2023/5/30/1198802/Z4390717256225_D6caa.jpg
Chợ Bà Chiểu,market,150000,"Long-standing traditional market selling fresh food, household goods, and clothing.",10.80161,106.6962423,5:00 – 19:00,"40 Bùi Hữu Nghĩa, Phường 1, Quận Bình Thạnh, TP. Hồ Chí Minh",https://upload.wikimedia.org/wikipedia/commons/9/9e/Ch%E1%BB%A3_B%C3%A0_Chi%E1%BB%83u.jpg,https://cdn.xanhsm.com/2025/02/bdc8c572-cho-ba-chieu-5.jpg
Công viên Gia Định,park,0,"Large park with many oil trees and sports fields, a morning exercise spot.",10.8132885,106.6733264,24/7,"Hoàng Minh Giám, Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh",https://static.vinwonders.com/production/cong-vien-gia-dinh-2.jpg,https://ik.imagekit.io/tvlk/blog/2022/12/cong-vien-gia-dinh-cover.jpg
Công viên Văn hóa Suối Tiên,entertainment,200000,"Cultural – theme park with mascot statues, rides, and an aquarium.",10.8661916,106.8005929,8:00 – 17:30,"120 Xa Lộ Hà Nội, Phường Tân Phú, TP. Thủ Đức, TP. Hồ Chí Minh",https://kimlientravel.com.vn/upload/image/avatar/Cong-vien-van-hoa-suoi-tien-1.jpg,https://suoitien.vn/halink-content/uploads/X2zsi1692236882.jpg
Nhà thờ Thủ Đức,religious,0,Thu Duc parish church with a sharp-roofed facade and local community activities.,10.8517332,106.7546108,24/7,"40 Võ Văn Ngân, Phường Bình Thọ, TP. Thủ Đức, TP. Hồ Chí Minh",https://giothanhle.net/wp-content/uploads/2016/10/nha-tho-thu-duc.jpg,https://tgpsaigon.net/Images/Parish/P_Thuduc_TD.jpg
Chùa Bửu Long (Thái Lan style),religious,0,Thai-style pagoda with a golden stupa and tranquil pond.,10.878863,106.8324055,5:00 – 20:00,"81 Nguyễn Xiển, Phường Long Bình, TP. Thủ Đức, TP. Hồ Chí Minh",https://kientrucvadoisong.net/Upload/News/chua-buu-long-net-kien-truc-theo-phong-cach-thai-lan.jpg,https://tiemthanhxuan.com/wp-content/uploads/2020/07/song-ao-o-chua-buu-long-7.jpg
Công viên phần mềm Quang Trung mở rộng (Thủ Đức – tham quan công nghệ),cultural,0,"Technology & software park showcasing digital solutions, visiting startup models.",10.8544763,106.5904955,8:00 – 17:00,"Khu Công nghệ cao TP.HCM, Phường Hiệp Phú, TP. Thủ Đức",https://media.vneconomy.vn/1200x630/images/upload/2024/09/07/cong-vien-phan-mem-quang-trung.jpg,https://images2.thanhnien.vn/zoom/686_429/528068263637045248/2024/6/25/qtscfly-cam-2020-1719331753567756874534-0-116-1080-1844-crop-17193317630012059416698.jpg
Khu du lịch Bình Quới 1,nature,250000,"Rustic ecological area with lotus ponds, thatched houses, and traditional cuisine.",10.8294993,106.7366021,9:00 – 21:00,"1147 Bình Quới, Phường 28, Quận Bình Thạnh, TP. Hồ Chí Minh",https://binhquoi.vn/wp-content/uploads/2025/07/BQ1-v1.jpg,https://cdn.xanhsm.com/2024/11/c31f7483-khu-du-lich-binh-quoi-1-5.jpg
Khu du lịch Bình Quới 2,nature,300000,Green space along the Saigon River specializing in outdoor weddings & conferences.,10.8334888,106.741065,8:00 – 22:00,"1147 Bình Quới, Phường 28, Quận Bình Thạnh, TP. Hồ Chí Minh",https://www.homepaylater.vn/static/88357cc22dcb6460df003e4ff1dec446/9d72c/1_khu_du_lich_binh_quoi_2_mang_den_khong_gian_thu_gian_hoa_minh_vao_thien_nhien_299b8d9efd.jpg,https://binhquoi.vn/wp-content/uploads/2020/07/371849484_780080920790406_4172361914069255814_n.jpg
Khu du lịch Tân Cảng,nature,700000,Restaurant – yacht dock overlooking the Saigon River with a garden and outdoor parties.,10.7999695,106.7221692,10:00 – 23:00,"A100 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TP. Hồ Chí Minh",https://ik.imagekit.io/tvlk/blog/2022/11/khu-du-lich-tan-cang-2.jpg,https://binhquoi.vn/wp-content/uploads/2020/07/z4973833122173_b39866fd0dc679605d99807319c8f1a6.jpg
