name,tag,avg_cost,description,lat,lon,address,opening_hours,image_url1,rating,reviews,extra_website,extra_phone
Olive Coffee Him Lam Quận 6 | Coffee Him Lam | Coffee Quận 6,Coffee shop,60000,"A calm, modern coffee spot in the Him Lam residential area. Ideal for a peaceful start to the day or a quiet evening retreat.",10.74688666489307,106.63781155527857,"Chung cư him lam 491, Đ. Hậu Giang, District 6, Ho Chi Minh City",6:30 - 22:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxP288ZOsDtgl4vVEkPkx3W2lyRVnkVudiwBvrM0Tzpml220YBUwar0Al9R1gG6hlNhcy0L_rpdAIJzDsGUqLsd1skOrPX4BEWM1xl1IJVT63JjbSsV0cVvp7HyXZ0I0kOGcB2SAKHaJIvg=w408-h306-k-no,4.9,55,https://olivecafequan6.com/,+84 934 433 337
Bill & Ball Coffee-Tea,Coffee shop,100000,"A lively venue serving a diverse menu of coffee, tea, and popular trendy beverages. A fun, energetic meeting spot.",10.74328568613884,106.6468397269857,"Căn hộ Viva Riverside, Bill & Ball Coffee-Tea Shophouse 1.20-1.21 Chung cư, 445-449 Đ. Gia Phú, District 6, Ho Chi Minh City",7:30 - 22:00,https://lh3.googleusercontent.com/p/AF1QipOgALvNIPmxDme2cJy-dbr1BJCkR7Bih5rlDwux=w408-h544-k-no,5,72,,+84 767 609 866
GON COFFEE,Coffee shop,100000,"Focuses on high-quality beans and precise brewing techniques. A clean, minimalist space for serious coffee drinkers.",10.745875621485824,106.63717307062146,"240/35G Đ. Nguyễn Văn Luông, District 6, Ho Chi Minh City",8:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpnDi6ccagefMTt1IjTAWR-XH0qqfJN7eCnueRJ_Z_IO3cqrL9cnwKNM_dZgJ5pqyA0z-B5HpL3OzQ7E05oX1zkyiDlLnGQEJPgEGVe9FADYfKq8jVW7ysl-O_B-QYRhfsoiW8WA=w408-h306-k-no,4.7,59,,+84 989 169 998
BIYOKI Family & Kids Coffee,Coffee shop,200000,"A unique concept where parents can relax with coffee while children enjoy a dedicated, safe play area.",10.757245034329499,106.64434013993575,"304 Đ. Minh Phụng, District 11, Ho Chi Minh City",9:00 - 21:00,https://lh3.googleusercontent.com/p/AF1QipPbBVpPn02fQUa_RwqVPfO3oGLGLDRi8FFfy31v=w408-h272-k-no,4.9,622,http://facebook.com/BIYOKIcoffee,+84 28 6684 5628
COCEVI Ba Tháng Hai - Coffee and Board Game,Coffee shop,100000,"The ultimate destination for coffee lovers who also enjoy tabletop games. Perfect for social groups and fun, late-night entertainment.",10.754903695133015,106.64457610500719,"1583 Đ. 3 Tháng 2, District 11, Ho Chi Minh City",10:00 - 23:00,https://lh3.googleusercontent.com/p/AF1QipNrqOe8zK2aiRKdzYyWSSI6w1t6EoUhsFdWJpA=w408-h508-k-no,4.7,200,https://zalo.me/2151669280557205184,+84 868 483 023
Uhmm - Matcha & Coffee,Coffee shop,100000,"Specializes in blending modern coffee concepts with traditional Japanese matcha, offering refreshing and unique fusion drinks.",10.757880914566037,106.64658051480004,"112/1c Thái Phiên, District 11, Ho Chi Minh City",8:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwK2CmIcAVWAKYpAidqEhQx4_jcTTXZ2pPlhuq9h-fb9xx511YuZAvmDpVyg5ywSUcY4v5ajgLWNtGNN-E9NgBfJ9iJwZmQ-gPxWXUDc3rgFIPGbKFovPrZg-kJ3kUTsR4J2dEsyw=w408-h544-k-no,5,16,,
DREAM JULY Coffee,Coffee shop,100000,"A charming cafe designed with a specific, romantic summer theme. Great for dates or quiet contemplation.",10.75459723962747,106.64399281904285,"648 650 Đ. Hồng Bàng, District 11, Ho Chi Minh City",8:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9QyDg4pTS7g7_pKHAgcbsrc4lVBusIj5VroaN5olR_Tbcl2bqxjaL9a3kkNuKLUqYjslqdNw-A5Fly9VYQpmAWx-bfJIxf3X_IwRovmeJ-Y_vwFGphUGW8esHDCCLUZLnVwIr=w408-h306-k-no,4.4,157,http://dreamjulycoffee.com/,+84 971 770 171
HOLA Cake & Coffee,Coffee shop,60000,An elegant spot where rich desserts meet Italian-style coffee. Ideal for afternoon tea and sweet indulgence.,10.743923659544002,106.64261546507146,"25 Đ. Văn Thân, District 6, Ho Chi Minh City",9:00 - 21:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzjFAnaDWzFEWuRmut0aAH8L7EuBaoVDDi9jJkxsTKakRkURdBn0JgpoaEm9PlTM4GhRRIb1TGI2qE2eoWfg8odp6tjTvQzkMfZOod3e4uNW03tLlg1sgGbDrHIE31mvlcHBMxBk58VSHcQ=w408-h544-k-no,5,11,,
Highlands Coffee,Coffee shop,100000,"A classic, no-frills spot known for its strong, authentic Vietnamese coffee. A daily ritual stop for locals.",10.749993578557962,106.64578520184999,"110-112 Đ. Hậu Giang, District 6, Ho Chi Minh City",6:30 - 20:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlVBejbKKia41wt8rTh8V6vwOxgT-bzvdABec3PJmu5iqSQmF5eR0Ff6m4hNQNjKVAjhEi1ZMvrcXSutJcqMUYvIZ0A6oenEVmAwsTnjl5PZxnzxTUReEqfN1oichUCVPC04So15jNnaZ_=w408-h544-k-no,4.2,98,https://www.highlandscoffee.com.vn/,+84 28 7107 2112
Chí Viễn Coffee Hậu Giang,Coffee shop,100000,"A beloved local cafe on Hậu Giang street, offering a familiar, down-to-earth atmosphere and traditional local brews.",10.749926319151887,106.64775619629998,"36 Đ. Hậu Giang, District 6, Ho Chi Minh City",6:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxK8Ador5HW6xIrOopk_70Fjgn9LVXQ-Nx9hgfsmKafdjYQiynB56bQZhSFUERrWNS1eukV6Dgkwo6pWL0IdxENRQNEvHqPRBmCDjTAXV0X4XRpXxwHsH0p8Sy4NNrMgpMsqdNnbQ=w426-h240-k-no,5,33,,
FAT Café,Coffee shop,100000,"A straightforward, accessible cafe offering a wide selection of drinks in a convenient location.",10.74575154366941,106.63908589390715,"Chung cư, Số 009, Lô A2, Đ. Lò Gốm, District 6, Ho Chi Minh City",7:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwVdoS4KoTyFVKQ9ttDXOb5j1HZktcLJrMoEUsWfWAJ2hJqxr8cgQ-J-l0IMKk3XUaO1NPwrfQ93Q-X6YOfKwEwjq3wTr3GRSlE3rLoAllppxVEarsiVXolkxr2D3HVVNNb8-olCg=w408-h306-k-no,5,14,,+84 356 781 221
Coffee Night,Coffee shop,100000,"A true late-night cafe, ideal for evening conversations, night owls, and post-dinner relaxation.",10.758126254695929,106.64807370555,"Hẻm 125 Đ. Hàn Hải Nguyên, District 11, Ho Chi Minh City",17:00 - 1:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sRCZcreSIVV1wbh-65pYjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=147.37254&pitch=0&thumbfov=100,5,3,,
Highlands Coffee Satra Mall - Quận 6,Coffee shop,100000,"A bright, modern spot located inside Satra Mall, perfect for a quick break during a shopping trip.",10.743288336346895,106.6493531589786,"Satra Mall, 1466 Võ Văn Kiệt, District 6, Ho Chi Minh City",9:30 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSysM157KtRvMgu99aUou84FMUF8_pLAboycGYlXpokQs0p_PFz81o9gLPLLWTejhkkqhoPTRb3wT4_4g7BCuyBLqsVtGCZMDWDroudxIOjsG3CEgfzm8_0dOuFubZ_SJLI1GvZ3=w408-h544-k-no,4.3,20,https://www.highlandscoffee.com.vn/,+84 28 7120 1466
Cọi Coffee,Coffee shop,100000,"A quintessential local coffee spot offering quick, strong traditional Vietnamese brews. Perfect for a fast morning pick-me-up or a mid-day break.",10.748397604319424,106.63682371349287,"487A Đ. Hậu Giang, District 6, Ho Chi Minh City",6:30 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSFeGfNwJlz7E2L1I9hB4xwvAQ0kLIRnKlAcUcTFSdb_Oj9rvchGVsMzp2g457V37Tfis5HYJ52ZxHTkB0BLooGyzeuOUWcFoYN6-9K8gkE7DBMnr25MyaR7mpBlNt8tEYDMLu1w=w408-h306-k-no,4.3,62,,+84 972 776 477
Matchacha - Matcha Latte & Coffee - Nguyễn Văn Luông,Coffee shop,100000,A modern cafe specializing in refreshing Matcha Lattes and creative coffee drinks on Nguyễn Văn Luông street.,10.74575265427823,106.63684988411431,"240/37d Đ. Nguyễn Văn Luông, District 6, Ho Chi Minh City",8:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyauxGvNVhAtrND8fjbk0fJ2cHHC9wwDBKnD7cTIMzDpx0U1rRmierx9eq8I7NAc9UHP325B9ZvdyoRCRBEhZVI2vkZjKvwIOaORHdC3yxrgFWcJzRmHvhvevwY5DJ5ulKw-DdpM8brw-W7=w408-h544-k-no,4.4,9,,
VMT COFFEE - TEA,Coffee shop,100000,"Serving a balanced menu of classic coffee and various teas. A reliable, all-day spot for a caffeine boost or a relaxing herbal infusion.",10.751673458641806,106.64946239259997,"141 Trang Tử, District 6, Ho Chi Minh City",7:00 - 22:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eaV5Gr8RYXWjCZc_lly8Lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=218.79178&pitch=0&thumbfov=100,5,4,,+84 934 124 123
We Cafe,Coffee shop,100000,"A comfortable, unassuming neighborhood cafe known for its friendly atmosphere and consistent, local coffee quality.",10.787579732863536,106.72861676507145,"1 Đ. số 34, Thủ Đức City, Ho Chi Minh City",7:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEBCwRUZKSa73BY9TKrZwPZG4guLWaXN8-pu6oWdfWg1Zb2TAbFn6xOmHQH1E0qHZ1dbV85yNGcbxIuondELLZN9UXYoGsW55nPyhwxGIcZw6LO9i4enjKoNvC99Dp7S_-T5Cc=w408-h544-k-no,4.9,156,https://linktr.ee/wethehonest,+84 899 011 123
Ollin Café,Coffee shop,100000,"A standard, convenient cafe offering a quiet setting for working or catching up with friends. Simple menu with dependable service.",10.789402878833,106.72985814602856,"220 Trần Não, Quận 2, Ho Chi Minh City",7:30 - 21:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7kn3mF3I_mqJZ_C-8QUqp-N5G4fPSnjjwmZ_suKtt0XGgtW6QLYBSFN_mzSldIpcPIpPzHnG4NA-WA4DNL8gGIPN-Ha-LHLIF9yWr0QQPrQwdcVd_p9yvLRdPBT6rbSVuVebH=w408-h306-k-no,4.4,646,https://ollincafe.vn/,+84 972 650 062
Bay Artspace 600 - Cafe & Art,Coffee shop,100000,"A unique space where coffee meets culture, often hosting small exhibitions or workshops. Perfect for creatives and art lovers.",10.788860357479118,106.72961738226431,"262/3 Trần Não, Thủ Đức City, Ho Chi Minh City",9:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVqawFkbax0xoS2tawKw-PwD-nQ21ivZs-_j-gejNcxUfQFS06kvWW-LaUTA0P1hrtiMYeIZ4GLO-Ktr75Js1azzECfXBEjPGhbwCN3SyZl68bHuo_vkWWmXfAm4qR6gJQ8PylQIR2QDF4=w408-h306-k-no,4.7,216,https://bayspace600.com/,
Pha Café,Coffee shop,100000,"An everyday cafe providing a range of hot and cold beverages in a casual, welcoming environment.",10.786103280394215,106.72624309575717,"28 Đ. 37, Thủ Đức City, Ho Chi Minh City",7:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaSCtXqkRf3xdIa39dA6hNgioQifD1IlV47e0RozywcPkUdX06swwaKPbb8kG67JlKxfcSHHs3abixHm3OdY454riMTOLttEuXPYMD9s9k5vqy9RR5PqRp992ebrksL218KkRPyNDRyhVg=w408-h306-k-no,4.7,55,https://www.facebook.com/phacafeee/,+84 707 049 728
HD Coffee and Music - Cafe Phòng Trà Ca Nhạc,Coffee shop,100000,"A warm venue for live music lovers, combining coffee service with nightly acoustic or chamber music performances.",10.793376596789502,106.72241449205715,"Toà Park 5, 720A Điện Biên Phủ, phường 22, Bình Thạnh, Ho Chi Minh City",18:00 - 23:00,https://lh3.googleusercontent.com/p/AF1QipOx5DZyUb-h5RCuYodwXT9GI6Q4xCqeP9B-n1zL=w426-h240-k-no,4.2,44,,+84 562 877 777
Azura Cafe,Coffee shop,100000,"A simple stop for your daily caffeine fix, focusing on speed and affordability.",10.776787982890053,106.72407199999999,"2 Số 13, District 2, Ho Chi Minh City",7:30 - 21:00,https://lh3.googleusercontent.com/p/AF1QipNLOZh4mmzLq5m2mwWzzXh4tQkfymsevM4vxfD3=w408-h612-k-no,4.8,25,,+84 901 969 340
NEX Café,Coffee shop,100000,"Early bird cafe with a focus on strong, traditional Vietnamese coffee. Ideal for the morning commute.",10.789489957137048,106.71895175952145,"29 Đường D8, Bình Thạnh, Ho Chi Minh City",6:30 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaTVsiXPmCdhkqoQwTtvBKldil7BV1qKvPq-lYvOsQhYaenoBi2HNvWueCH06Vz5RmPNK0XDgXhRqAoh_jedgkuJ5DF6lPWzlNwzqsYEvEJHRcFyMVV5fHfqwS8rdKQTP97-6v=w408-h544-k-no,5,2,,
Một chút cafe,Coffee shop,100000,"Named ""A Little Bit of Coffee,"" this spot offers a minimalist, calming aesthetic. A quiet retreat for slow mornings and peaceful reflection.",10.783869442081844,106.73403249205715,"QPMM+FGR, Thủ Đức City, Ho Chi Minh City",8:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVsJ1KhW3I3kyguzGJz9N_rkY0dhHJR18Bv8xOOjhzXmeNVNo3DR7JN7CmRed6--PBgvRQdBiXnVstLzxYwRpREBcGmpHcO8mTfYLV5za8uGu1aZYdaaaRBB5Nsgpeop3otonCNoX3ZfI=w408-h725-k-no,5,5,,
Cafe Lencie (Hoà Thân),Coffee shop,100000,"A distinctive, possibly European-inspired cafe, known for its beautiful decor and signature desserts. A perfect spot for photos and sweet indulgence.",10.784684899088804,106.73526240740003,"10/8 Lương Định Của, Thủ Đức City, Ho Chi Minh City",9:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwf5FP1pH3cdX2DvS3Qxn5fT31E1Y8VsUZpsYUMdNLJ2jAwY5ojrq4KeyRDNKOoNy-2SqmWvifjypxRPAdXUwW-FYYF9bE75gN0wFf0v_9vCWYE5iQOTw0xUmT91dmGe_-wjupp0tPd9iQ=w408-h544-k-no,5,7,,+84 967 324 356
Cafe Nhớ,Coffee shop,100000,"""Remember"" Cafe. A nostalgic spot with classic Vietnamese decor, evoking a sense of the past. Known for traditional black coffee and milk coffee.",10.785244459443325,106.73795088835715,"67 Bạch Đông Ôn, Thủ Đức City, Ho Chi Minh City",7:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgSRHdfR9SFv8sjvNjB5r9DjMhcqMtYptgu8629Yc431QJvv8FGTs4tMdAOqcLoaPIqnHiHIoK5XAY8oreEEPywgqcZY--JgkHoyB5ai7amefe1Dj0jBhxspyq_ZvxjUfNfJ-Uq-xe-6fa=w408-h544-k-no,4.9,34,,+84 903 670 606
Cafe Tí Râu,Coffee shop,100000,"A highly local, familiar street-side stall or small shop known for a quick, potent, traditional brew. Opens very early for the working crowd.",10.785852198413906,106.73352394972858,"20 An Tư Công Chúa, Thủ Đức City, Ho Chi Minh City",6:00 - 19:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgE8Uf_6uAuFrdFMKjMIiua_IPDCmDfZgv6uM2pooaSGCL4E9U0kIiwXV6Hj-gd15r2F3lTVje8iULFg1096YTRAJUh_J91TKtHwGtl9oXp2CU9DTMD1_uKShXQZhAhWWbaUkBHA=w532-h240-k-no,4.7,7,,+84 948 968 968
Cafe bờ kè,Coffee shop,100000,"Located by the ""Embankment,"" this cafe offers open-air seating and a relaxing river or canal view. Great for evening chilling.",10.794440393446306,106.72845952274285,"29 Đường Số 26, Thủ Đức City, Ho Chi Minh City",7:00 - 23:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cKu8A7YKbIav_v8r3dksDw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.4912&pitch=0&thumbfov=100,5,1,,
Pearl Cafe,Restaurant,200000,A spacious venue that serves both coffee and casual dining/light meals. Suitable for lunch meetings or a long afternoon stay.,10.788324418556638,106.71805351719286,"Lầu 6, White House, Sunwah Pearl, 90 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TP. HCM, Ho Chi Minh City",9:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2OndMA-cPyZJm7oj5VK-Km_E5Uwew-m4IfbiZ-jYY7kSGG9mD9Z7rbkapBw6y8KUCUV00KjYrfVY2iMJ4yDP4Vc2Z67pDR1OI4iDpf0AtohTuDJeK-kFoKCaKiQQ_D5NZ9zc1aQ=w408-h306-k-no,3.3,24,,+84 909 873 911
Bamos Coffee Thủ Đức - Cà phê 24h (Trần Não),Coffee shop,100000,"A true 24/7 cafe in Thủ Đức, serving coffee day and night. The perfect reliable spot for late-night work or study sessions.",10.796109431421874,106.73286938596432,"9/8 Đường số 10, Thủ Đức City, Ho Chi Minh City",0:00-23:59,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0i802WdeXAJSuzQpS9CLDPffJtzWKaWEG4eFQmvtH6LA4IRX1ihXEG0lxn2DrDlBhGGkw2JFguOdHkzm7Nl41w49nQfXx_dpoXxw-f2s2cBfFWYr5ghQEcICBJx5hDG4-d1N0y_rohtnT=w408-h408-k-no,4.6,1136,https://bamoscoffee.com/,+84 707 014 095
Cùng Eim Café,Coffee shop,100000,"A trendy, aesthetically pleasing cafe with a likely Korean or modern European influence, known for unique interiors and photogenic drinks.",10.78874940476378,106.71511945342858,"30/35 Nguyễn Hữu Cảnh, Bình Thạnh, Ho Chi Minh City",8:30 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFmZReNKqyH4MTT7r5J0vXwff_95A7jwJgpChmr_AUiV36RJ9g7Rh0B7LaB1bry-pN8BjfIXCZagFpY4PWpCyuGriX1Sxb1YIr_XQK66uOdow1hzQtCLYWdt-JEz04-DcOzLU972j9F_cu=w408-h544-k-no,4.9,191,,+84 335 576 373
Mộc Cafe,Coffee shop,100000,A convenient mid-range option with standard coffee offerings and a casual seating arrangement.,10.792060733906562,106.7356235013072,"65 Đ. Vành Đai Tây, Thủ Đức City, Ho Chi Minh City",7:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPH1Rfj_DOu-gKP8BaDHZbPCo8YMYaEQ0FFNB7v5HAj7rYBsEVZQIoTBt1voONSGplwRLT0YU79pSln3iQbwA2xddOZ5SizzoVk9TUlQouWOA0OSDTg-WQZgX4HCb1FNLTxspv=w408-h306-k-no,4.6,124,,+84 976 222 987
Him Café - Thủ Thiêm,Coffee shop,100000,"A modern cafe in the new Thủ Thiêm area, likely featuring chic design and stunning city/river views. A premium contemporary spot.",10.779701122937476,106.71404536322144,"Tòa nhà Galleria Residence, C1.05, Tháp C/20 Nguyễn Thiện Thành, Thủ Đức City, Ho Chi Minh City",8:00 - 22:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFFB6SFqBpMEUzJ45kRiMlvo3cDlz9RvMaf0aWeJd-AB00PbDXGwfjfM4Aj-5lMdt8bud0G7hBrlrQvTRE1Ebf6Ii8rTxwEF3YrLoDDkZQ_FM8kznoF0K2hC4KtYBbbwcmU6JDhHfvxgYX=w408-h306-k-no,4.6,98,http://himcafe.vn/,
Dolphy Café 28 Trần Lựu,Coffee shop,100000,"A specific local cafe on Trần Lựu street. A community staple offering consistent service and a reliable, comfortable setting for regulars.",10.79177557771006,106.7368871552786,"28 Trần Lựu, Thủ Đức City, Ho Chi Minh City",7:00 - 21:30,https://lh3.googleusercontent.com/p/AF1QipNJ26vv7y5-_S2jotY0t-EkWw1ap0BQCSON6328=w408-h306-k-no,4.3,110,https://www.facebook.com/dolphycafe,+84 388 942 527
"Purrfect Inn - Cafe, Khách sạn cho Mèo","Animals, coffee shop",100000,A unique cafe model combining your coffee break with adorable feline friends. Ideal for cat lovers and families.,10.788291497003373,106.73308668411433,"Lương Định Của, Thủ Đức City, Ho Chi Minh City",10:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzuIziCbMDX0s1Q2_ZAl57D5US9__eeS86Yd_v8lQ5Z2BZYA7LaSJCQXY1sDPf_Md4heTeilkBvRUnxxzEKfAvrjfk2nbNFRrYsP7InXLMfZKI7LAvr5Xjs-g6KT3Rvo6WgRepBeKZSpuQ=w408-h306-k-no,5,50,,+84 855 051 024
Sen Trắng Cafe & Bistro,Coffee shop,300000,"A bright, airy space (Trắng means White) with a clean, Scandinavian-inspired design. Perfect for brunch and professional meetings.",10.77939885790141,106.71389642698571,"B0107, Đ. D6, Thủ Đức City, Ho Chi Minh City",9:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtvfvtM9erusIc1XihvsyGlMXL32IKIwwISB6JojH_RPnbIjh_3HtnslUt8N-dO44tMk4kQ8lAEGDJSltWEKQOGV0WjvzznihLdrCa_VorjUBvG3o_Sjq-yTkiizmW26sysGDa8aT6zyg=w408-h306-k-no,4.9,7,https://online.fliphtml5.com/jdgbw/fkzj/#p=1,+84 911 778 617
Café de Saigon1982,Coffee shop,100000,"A charming, nostalgic cafe transporting guests back to Saigon in 1982. Features retro decor, old music, and traditional Vietnamese beverages.",10.78929441806362,106.72068896137145,"7 Đường D5, Saigon Pearl, Bình Thạnh, Hồ Chí Minh 70000, Ho Chi Minh City",7:00 - 22:00,https://lh3.googleusercontent.com/p/AF1QipMfXbQVpNOosqwAt-3EZbM2bMuLbmn1NU0wE4ZO=w408-h306-k-no,5,4,http://saigon1982.vn/,+84 877 988 980
Lucas cafe,Coffee shop,100000,A straightforward cafe providing the essential coffee experience in a no-frills setting.,10.789890239444334,106.71668022089287,"29 A Nguyễn Hữu Cảnh, Bình Thạnh, Ho Chi Minh City",7:30 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxSRIVnRWesott9n1x_tUFgwM0DcNYkPyeJb6h50dujvpu0zY_DixCYChjm23DFHf8EqHzBmt2TFkRbV7JGSeIDXV6rOvh_Xi6yjs7gGa5-pSCv07o0hbcdAIjbUeQC4goS358KUQ=w426-h240-k-no,4.1,203,,+84 843 777 799
LELUNE COFFEE & FOOD,Coffee shop,100000,A convenient stop that combines coffee service with a selection of light meals and snacks. Ideal for a working lunch or a longer stay.,10.751998091679647,106.63233920740001,"53 Đ. Kinh Dương Vương, District 6, Ho Chi Minh City",7:00 - 22:00,https://lh3.googleusercontent.com/p/AF1QipPbIGHg2SxTInwIV6YB0416y_QpXm0vK0__XtTQ=w408-h337-k-no,4.9,469,https://lelune.vn/,+84 782 967 808
Hồ Điệp Coffee and Tea,Coffee shop,100000,"A peaceful, dedicated spot for both coffee enthusiasts and tea lovers. Offers a tranquil environment, often featuring a small garden or natural wood decor.",10.754284414617194,106.6331902711643,"55 Bà Hom, District 6, Ho Chi Minh City",8:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy25ZQecZmSOBzUyIr1aNsDbuhAqYfLivUlia6SnrExTCGAG9Ul87uo983wvbHzO-hNDwphxDN4l_0KOxRofAN-2anX5G2mxWRiL7oSIXhsYyFX6pCPqrVivaUkInV1n6UFHN8BN7CAQugw=w408-h544-k-no,4.9,11,,+84 707 409 642